name,description,url,address,lng,lat
Davis/Fitch Street Parking Garage,"Parking Lot available to Commuters on Levels 2, 3 and 4",https://www.southernct.edu/student-life/safety/parking/index.html/,"220 Fitch St,?New Haven,?CT?06515",-72.943087,41.33567
Lot 9,Parking Lot  available to Commuters,https://www.southernct.edu/student-life/safety/parking/index.html/,"1 Farnham Avenue, New Haven, CT 06515",-72.953403,41.33015
Lot 3,Parking Lot available to Commuters,https://www.southernct.edu/student-life/safety/parking/index.html/,"41 Farnham Avenue, New Haven, CT 06515",-72.951232,41.331994
West Campus Garage,Parking Lot to Residents & Commuters,https://www.southernct.edu/student-life/safety/parking/index.html/,"160 Wintergreen Avenue, New Haven, CT 06515",-72.953714,41.333135
Office of Student Life,"The central hub for student clubs and organizations. This office focuses on Service, Involvement, Leadership and Activities!",http://www.southernct.edu/student-life/activities/officeofstudentlife/index.html; www.clubs.southernct.edu,"501 Crescent Street, New Haven, CT 06515",-72.948984,41.331784
University Police,"Parking decal, bus routes, pay parking ticket, parking ticket appeals.",https://www.southernct.edu/student-life/safety/university-police/,"10 Wintergreen Avenue, New Haven, CT 06515",-72.952054,41.333689
Office of New Student/Sophomore Programs,Programming and support for first year and sophomore students.,http://southernct.edu/student-life/support/nss/,"501 Crescent Street, New Haven, CT 06515",-72.946859,41.333033
Commuter Lounge,"Located in the Adanti Student Center, Room 215! Couches, TV, microwave and lounge space!",,"501 Crescent Street, New Haven, CT 06515",-72.949102,41.331704
Student Government,The Student Government Association strives to improve the student experience. Commuter Commission works out of SGA.  Located in the Student Center ASC 218.,https://www.southernct.edu/student-life/activities/officeofstudentlife/involvement/student-government-association/ ; www.clubs.southernct.edu,"501 Crescent Street, New Haven, CT 06515",-72.948887,41.331744
Academic Success Center,"The Academic Success Center is multifaceted and provides a variety of different services. It is equipped with several rooms specific to one-on-one academic support, collaboration labs for group academic support, comfy spaces, a reading/writing studio to provide reading and writing support, a math lab, a workshop room, two touch screen TVs and an eno whiteboard. ",https://www.southernct.edu/student-life/academic-success/academic-success-center/,,-72.947995,41.33307
Adanti Food Court,"Dunkin Donuts, 2mato, Nathan's, Blue Agave, Mondo Subs",http://www.southernct.edu/student-life/campus-life/food-services/semester-schedule.html,"501 Crescent Street, New Haven, CT 06515",-72.948726,41.332163
Connecticut Hall (CONN HALL),Dining hall.,http://www.southernct.edu/student-life/campus-life/food-services/semester-schedule.html,"501 Crescent Street, New Haven, CT 06515",-72.9501,41.332759
Bagel Wagon,"Located in Engleman on the first floor across from B121. Here you can find assorted snacks, drinks, etc.",http://www.southernct.edu/student-life/campus-life/food-services/semester-schedule.html,"501 Crescent Street, New Haven, CT 06515",-72.946731,41.33255
Buley Library,"Library, study area, computer access and printing.",http://libguides.southernct.edu/home/,"501 Crescent Street, New Haven, CT 06515",-72.947804,41.332864
Student Center,The Adanti Student Center is the focal point of campus organizations and activities.,http://www.southernct.edu/student-life/activities/student-center/,"501 Crescent Street, New Haven, CT 06515",-72.948791,41.331994
Admissions House,"Apply to Southern, attend undergraduate open houses, and sign up for campus tours.",https://www.southernct.edu/admissions/,"131 Farnham Avenue, New Haven, CT 06515",-72.951662,41.331385
Campus Bookstore,Your on-campus Barnes and Noble Bookstore!,http://southern-ct.bncollege.com/webapp/wcs/stores/servlet/BNCBHomePage?storeId=19076&catalogId=10001&langId=-1,"501 Crescent Street, New Haven, CT 06515",-72.94864,41.332405
Bursar's Office,"Payments, Deposits, and more.",https://www.southernct.edu/offices/finance-administration/bursar/,"100 Wintergreen Avenue, New Haven, CT 06515",-72.950919,41.334432
Registrar's Office,"The Registrar's Office is responsible for maintaining the accuracy of student records.  Services provided by the Registrar's Office include registration services, graduation services, transcript requests, enrollment and degree verifications, classroom scheduling, grade processing, and applications for in-state residency.",https://www.southernct.edu/offices/registrar/,"100 Wintergreen Avenue, New Haven, CT 06515",-72.9509836,41.334428
Finanical Aid Office,Located in Wintergreen.  Ask questions regarding your financial aid.,https://www.southernct.edu/financialaid/,"100 Wintergreen Avenue, New Haven, CT 06515",-72.95079,41.334629
Hoot Loot Office,"Located in the Adanti Student Center, Room 324!",http://hootloot.southernct.edu/,"501 Crescent Street, New Haven, CT 06515",-72.948748,41.332058
North Campus Market,Located in the North Campus Midrise!,http://www.southernct.edu/student-life/campus-life/food-services/semester-schedule.html,"180 Pinerock Avenue, Hamden, CT 06514",-72.947069,41.338039
